Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,4.8,mg/L,0.005,0.1,,2/7/2013,14:30:00,2/7/2013 14:30,2/8/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,382,lb/day,,,,2/7/2013,14:30:00,2/7/2013 14:30,2/8/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,5.2,mg/L,0.005,0.1,,2/12/2013,9:45:00,2/12/2013 9:45,2/13/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,404,lb/day,,,,2/12/2013,9:45:00,2/12/2013 9:45,2/13/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,5.8,mg/L,0.005,0.1,,2/19/2013,9:53:00,2/19/2013 9:53,2/20/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,479,lb/day,,,,2/19/2013,9:53:00,2/19/2013 9:53,2/20/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,5.3,mg/L,0.005,0.1,,2/28/2013,10:09:00,2/28/2013 10:09,3/1/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,390,lb/day,,,,2/28/2013,10:09:00,2/28/2013 10:09,3/1/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Monthly Average (Mean),=,5.3,mg/L,0.005,0.1,,2/28/2013,17:00:00,2/28/2013 17:00,2/28/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Monthly Average (Mean),=,414,lb/day,,,,2/28/2013,17:00:00,2/28/2013 17:00,2/28/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for February 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,453,lb/day,,,,3/5/2013,10:26:00,3/5/2013 10:26,3/6/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,5.9,mg/L,0.005,0.1,,3/5/2013,10:26:00,3/5/2013 10:26,3/6/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,5.7,mg/L,0.005,0.1,,3/12/2013,6:50:00,3/12/2013 6:50,3/13/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,448,lb/day,,,,3/12/2013,6:50:00,3/12/2013 6:50,3/13/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,5.4,mg/L,0.005,0.1,,3/18/2013,12:26:00,3/18/2013 12:26,3/19/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,430,lb/day,,,,3/18/2013,12:26:00,3/18/2013 12:26,3/19/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,424,lb/day,,,,3/25/2013,12:51:00,3/25/2013 12:51,3/26/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,5.6,mg/L,0.005,0.1,,3/25/2013,12:51:00,3/25/2013 12:51,3/26/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Monthly Average (Mean),=,439,lb/day,,,,3/31/2013,17:00:00,3/31/2013 17:00,3/31/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Monthly Average (Mean),=,5.65,mg/L,0.005,0.1,,3/31/2013,17:00:00,3/31/2013 17:00,3/31/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for March 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,414,lb/day,,,,4/2/2013,9:27:00,4/2/2013 9:27,4/2/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,4.9,mg/L,0.005,0.2,,4/2/2013,9:27:00,4/2/2013 9:27,4/2/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,4.6,mg/L,0.005,0.2,,4/9/2013,9:16:00,4/9/2013 9:16,4/9/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,374,lb/day,,,,4/9/2013,9:16:00,4/9/2013 9:16,4/9/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,357,lb/day,,,,4/16/2013,10:14:00,4/16/2013 10:14,4/16/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,4.5,mg/L,0.005,0.2,,4/16/2013,10:14:00,4/16/2013 10:14,4/16/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,4.4,mg/L,0.005,0.2,,4/23/2013,8:21:00,4/23/2013 8:21,4/23/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,343,lb/day,,,,4/23/2013,8:21:00,4/23/2013 8:21,4/23/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Daily Discharge,=,410,lb/day,,,,4/30/2013,9:11:00,4/30/2013 9:11,4/30/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),Inorganic Anions by Ion Chromatography,,=,5.1,mg/L,0.005,0.2,,4/30/2013,9:11:00,4/30/2013 9:11,4/30/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
EFF-001,Nitrite Plus Nitrate (as N),,Monthly Average (Mean),=,380,lb/day,,,,4/30/2013,17:00:00,4/30/2013 17:00,4/30/2013,0:00:00,,,,Tracy WWTP, Monthly SMR ( MONNPDES ) report for April 2013,,,
