Date,DRP** mg/L P,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-02-29,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-03-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-04-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-05-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-06-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-07-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-08-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-09-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-10-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-11-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2000-12-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-01-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-02-28,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-03-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-04-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-05-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-06-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-07-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-08-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-09-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-10-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-11-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2001-12-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-01-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-02-28,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-03-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-04-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-05-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-06-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-07-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-08-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-09-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-10-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-11-30,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2002-12-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2003-01-31,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
2003-02-28,,4.68,,2.87,1.43,,,,,,,,0.96,,,,
